Word,Categories
artichoke,vegetables
asparagus,vegetables
lettuce,vegetables
mushroom,vegetables
onion,vegetables
peas,vegetables
potato,vegetables
radish,vegetables
squash,vegetables
scallions,vegetables
herbs,vegetables
broccoli,vegetables
salad,vegetables
cucumber,vegetables
pickles,vegetables
cauliflower,vegetables
meal,vegetables
shallots,vegetables
spinach,vegetables
cabbage,vegetables
zucchini,vegetables
beans,vegetables
lentils,vegetables
turnip,vegetables
eggplant,vegetables
pepper,vegetables
avocado,vegetables
corn,vegetables
guacamole,vegetables
carrot,vegetables
celery,vegetables
bathtub,furniture
couch,furniture
crib,furniture
curtains,furniture
drawer,furniture
dresser,furniture
fishtank,furniture
hammock,furniture
highchair,furniture
mirror,furniture
refrigerator,furniture
rug,furniture
safe,furniture
shower,furniture
sink,furniture
stool,furniture
trashcan,furniture
tv,furniture
faucet,furniture
globe,furniture
piggybank,furniture
radio,furniture
trash,furniture
trophy,furniture
dartboard,furniture
garbage,furniture
nightlight,furniture
lantern,furniture
chalkboard,furniture
snowglobe,furniture
coffeetable,furniture
shelf,furniture
bunkbed,furniture

lockers,furniture
vase,furniture
easel,furniture
hamper,furniture
incubator,furniture
wastebasket,furniture
axle,furniture
cabinet,furniture
lampshade,furniture
mat,furniture
painting,furniture
nightstand,furniture
bookshelf,furniture
closet,furniture
cupboard,furniture
vault,furniture
rack,furniture
table,furniture
socket,furniture
cloth,furniture
deck,furniture
piano,furniture
centerpiece,furniture
bed,furniture
bench,furniture
chair,furniture
desk,furniture
lamp,furniture
basket,furniture
bra,clothing
button,clothing
coat,clothing
diaper,clothing
dress,clothing
hat,clothing
jacket,clothing
mask,clothing
pants,clothing
shirt,clothing
skirt,clothing
slipper,clothing
stocking,clothing
sweater,clothing
tie,clothing
watch,clothing
moccasins,clothing
gown,clothing
jersey,clothing
hubcap,clothing
flipflops,clothing
tanktop,clothing
leotard,clothing
sandal,clothing
hairclip,clothing
poncho,clothing
visor,clothing
headband,clothing
bowtie,clothing
veil,clothing
waders,clothing
sunglasses,clothing
sombrero,clothing
jeans,clothing
overalls,clothing
pocket,clothing
flannel,clothing
pajamas,clothing
fedora,clothing
leather,clothing
bonnet,clothing
cape,clothing
plaid,clothing
raincoat,clothing
bandana,clothing
vest,clothing
snorkel,clothing
hood,clothing
sleeve,clothing
swimsuit,clothing
tuxedo,clothing
tutu,clothing
tee,clothing
wardrobe,clothing
handkerchief,clothing
totebag,clothing
clothes,clothing
barrette,clothing
fannypack,clothing
tiara,clothing
armor,clothing
lifevest,clothing
underwear,clothing
scarf,clothing
onesie,clothing
bracelet,clothing
earmuffs,clothing
laces,clothing
goggles,clothing
suspenders,clothing
robe,clothing
blouse,clothing
sneaker,clothing
rainboots,clothing
kneepads,clothing
wetsuit,clothing
boot,clothing
top,clothing
belt,clothing
crown,clothing
glove,clothing
necklace,clothing
ring,clothing
shoe,clothing
sock,clothing
zipper,clothing
